Year,Round,Region Number,Region Name,Seed,Score,Team1,Team2,Score,Seed,team1id,team2id
2013,2,3,South,15,81,Florida Gulf Coast,San Diego St,71,7,526,21
2013,2,3,South,3,78,Florida,Minnesota,64,11,57,135
2013,2,3,South,4,78,Michigan,VCU,53,5,130,2670
2013,2,4,East,1,58,Indiana,Temple,52,9,84,218
2013,2,4,East,2,63,Miami,Illinois,59,7,2390,356
2013,2,4,East,3,74,Marquette,Butler,72,6,269,2086
2013,2,4,East,4,66,Syracuse,California,60,12,183,25
2013,3,1,Midwest,1,77,Louisville,Oregon,69,12,97,2483
2013,3,1,Midwest,2,71,Duke,Michigan St,61,3,150,127
2013,3,2,West,9,72,Wichita St,La Salle,58,13,2724,2325
2013,3,2,West,2,73,Ohio St,Arizona,70,6,194,12
2013,3,3,South,1,85,Kansas,Michigan,87,4,2305,130
2013,3,3,South,15,50,Florida Gulf Coast,Florida,62,3,526,57
2013,3,4,East,1,50,Indiana,Syracuse,61,4,84,183
2013,3,4,East,2,61,Miami,Marquette,71,3,2390,269
2013,4,1,Midwest,1,85,Louisville,Duke,63,2,97,150
2013,4,2,West,9,70,Wichita St,Ohio St,66,2,2724,194
2013,4,3,South,4,79,Michigan,Florida,59,3,130,57
2013,4,4,East,4,55,Syracuse,Marquette,39,3,183,269
2013,5,1,Final Four,1,72,Louisville,Wichita St,68,9,97,2724
2013,5,2,Final Four,4,61,Michigan,Syracuse,56,4,130,183
2013,6,1,Championship,1,82,Louisville,Michigan,76,4,97,130
2014,1,1,South,1,67,Florida,Albany,55,16,57,399
2014,1,1,South,2,80,Kansas,Eastern Kentucky,69,15,2305,2198
2014,1,1,South,3,77,Syracuse,Western Michigan,53,14,183,2711
2014,1,1,South,4,76,UCLA,Tulsa,59,13,26,202
2014,1,1,South,5,75,VCU,Stephen F Austin,77,12,2670,2617
2014,1,1,South,6,59,Ohio St,Dayton,60,11,194,2168
2014,1,1,South,7,53,New Mexico,Stanford,58,10,167,24
2014,1,1,South,8,48,Colorado,Pittsburgh,77,9,38,221
2014,1,2,East,1,70,Virginia,Coastal Carolina,59,16,258,324
2014,1,2,East,2,73,Villanova,Wisconsin Milwaukee,53,15,222,270
2014,1,2,East,3,93,Iowa St,North Carolina Central,75,14,66,2428
2014,1,2,East,4,93,Michigan St,Delaware,78,13,127,48
2014,1,2,East,5,57,Cincinnati,Harvard,61,12,2132,108
2014,1,2,East,6,79,North Carolina,Providence,77,11,153,2507
2014,1,2,East,7,89,Connecticut,St Josephs,81,10,41,2603
2014,1,2,East,8,71,Memphis,George Washington,66,9,235,45
2014,1,3,West,1,88,Arizona,Weber St,59,16,12,2692
2014,1,3,West,2,75,Wisconsin,American,35,15,275,44
2014,1,3,West,3,76,Creighton,Louisiana Lafayette,66,14,156,322
2014,1,3,West,4,73,San Diego St,New Mexico St,69,13,21,166
2014,1,3,West,5,75,Oklahoma,North Dakota St,80,12,201,2449
2014,1,3,West,6,74,Baylor,Nebraska,60,11,239,158
2014,1,3,West,7,87,Oregon,BYU,68,10,2483,252
2014,1,3,West,8,85,Gonzaga,Oklahoma St,77,9,2250,197
2014,1,4,Midwest,1,64,Wichita St,Cal Poly,37,16,2724,13
2014,1,4,Midwest,2,57,Michigan,Wofford,40,15,130,2747
2014,1,4,Midwest,3,71,Duke,Mercer,78,14,150,2382
2014,1,4,Midwest,4,71,Louisville,Manhattan,64,13,97,2363
2014,1,4,Midwest,5,83,St Louis,NC State,80,12,139,152
2014,1,4,Midwest,6,67,Massachusetts,Tennessee,86,11,113,2633
